week,country,interest_USDT,interest_bitcoin,interest_crypto,demand_index_raw,demand_index
2026-08-17,South Africa,50.0,41.0,74.0,55.0,10.58
2026-08-24,Ghana,84.0,77.0,40.0,67.0,55.38
2026-08-24,Kenya,61.0,42.0,46.0,49.666666666666664,27.63
2026-08-24,Nigeria,88.0,78.0,77.0,81.0,63.16
2026-08-24,South Africa,47.0,43.0,71.0,53.666666666666664,6.73
2026-08-31,Ghana,78.0,93.0,37.0,69.33333333333333,60.77
2026-08-31,Kenya,66.0,34.0,51.0,50.333333333333336,28.95
2026-08-31,Nigeria,85.0,88.0,77.0,83.33333333333333,69.3
2026-08-31,South Africa,50.0,38.0,67.0,51.666666666666664,0.96
2026-09-07,Ghana,84.0,69.0,36.0,63.0,46.15
2026-09-07,Kenya,55.0,68.0,100.0,74.33333333333333,76.32
2026-09-07,Nigeria,92.0,80.0,80.0,84.0,71.05
2026-09-07,South Africa,44.0,52.0,100.0,65.33333333333333,40.38
2026-09-14,Ghana,66.0,57.0,29.0,50.666666666666664,17.69
2026-09-14,Kenya,58.0,50.0,65.0,57.666666666666664,43.42
2026-09-14,Nigeria,85.0,67.0,68.0,73.33333333333333,42.98
2026-09-14,South Africa,39.0,40.0,83.0,54.0,7.69
2026-09-21,Ghana,62.0,61.0,32.0,51.666666666666664,20.0
2026-09-21,Kenya,52.0,44.0,49.0,48.333333333333336,25.0
2026-09-21,Nigeria,77.0,67.0,69.0,71.0,36.84
2026-09-21,South Africa,46.0,39.0,70.0,51.666666666666664,0.96
2026-09-28,Ghana,67.0,71.0,33.0,57.0,32.31
2026-09-28,Kenya,60.0,32.0,40.0,44.0,16.45
2026-09-28,Nigeria,85.0,73.0,67.0,75.0,47.37
2026-09-28,South Africa,49.0,44.0,67.0,53.333333333333336,5.77
2026-10-05,Ghana,76.0,79.0,34.0,63.0,46.15
2026-10-05,Kenya,86.0,60.0,67.0,71.0,69.74
2026-10-05,Nigeria,83.0,80.0,80.0,81.0,63.16
2026-10-05,South Africa,54.0,56.0,94.0,68.0,48.08
2026-10-12,Ghana,64.0,95.0,100.0,86.33333333333333,100.0
2026-10-12,Kenya,77.0,79.0,96.0,84.0,95.39
2026-10-12,Nigeria,89.0,87.0,94.0,90.0,86.84
2026-10-12,South Africa,46.0,65.0,99.0,70.0,53.85
2026-10-19,Ghana,81.0,66.0,65.0,70.66666666666667,63.85
2026-10-19,Kenya,73.0,50.0,57.0,60.0,48.03
2026-10-19,Nigeria,74.0,68.0,67.0,69.66666666666667,33.33
